OBJECTID,Type,Name,NHLE link,Longitude,Latitude
123,Parks & Gardens,PYRFORD COURT,https://historicengland.org.uk/listing/the-list/list-entry/1000229,-0.520110021,51.31172215
124,Parks & Gardens,BUCKHURST PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000230,0.141999891,51.09303605
125,Parks & Gardens,HERSTMONCEUX CASTLE AND PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000231,0.338671191,50.87247027
126,Parks & Gardens,NEWICK PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000232,0.022328997,50.95425978
127,Parks & Gardens,PENNS IN THE ROCKS,https://historicengland.org.uk/listing/the-list/list-entry/1000233,0.166022857,51.09123532
128,Parks & Gardens,PLUMPTON PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000234,-0.066572339,50.90493495
129,Parks & Gardens,FIRLE PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000235,0.093781571,50.8474873
130,Parks & Gardens,THE HOO,https://historicengland.org.uk/listing/the-list/list-entry/1000236,0.253292659,50.79917721
131,Parks & Gardens,St Osyth's Priory,https://historicengland.org.uk/listing/the-list/list-entry/1000237,1.071331123,51.80620416
132,Parks & Gardens,BRIDGE END GARDENS,https://historicengland.org.uk/listing/the-list/list-entry/1000238,0.23811697,52.02595074
133,Parks & Gardens,RIFFHAMS,https://historicengland.org.uk/listing/the-list/list-entry/1000239,0.56394984,51.72507386
134,Parks & Gardens,SPAINS HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000240,0.444807701,51.97750759
135,Parks & Gardens,LANGLEYS,https://historicengland.org.uk/listing/the-list/list-entry/1000241,0.462961944,51.79511403
136,Parks & Gardens,LADBROKE ESTATE,https://historicengland.org.uk/listing/the-list/list-entry/1000242,-0.202468879,51.5107165
137,Parks & Gardens,MYDDELTON HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000243,-0.061373304,51.6757295
138,Parks & Gardens,THE HILL (INVERFORTH HOUSE),https://historicengland.org.uk/listing/the-list/list-entry/1000244,-0.182682264,51.56538228
139,Parks & Gardens,BEDFORD SQUARE,https://historicengland.org.uk/listing/the-list/list-entry/1000245,-0.130046397,51.5189634
140,Parks & Gardens,REGENT'S PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000246,-0.156291377,51.5304486
141,Parks & Gardens,HALL PLACE,https://historicengland.org.uk/listing/the-list/list-entry/1000247,0.160581127,51.44664853
142,Parks & Gardens,BROMPTON CEMETERY,https://historicengland.org.uk/listing/the-list/list-entry/1000248,-0.190795965,51.48488151
143,Parks & Gardens,WARBROOK HOUSE,https://historicengland.org.uk/listing/the-list/list-entry/1000249,-0.891488434,51.3487637
144,Parks & Gardens,ELVETHAM HALL,https://historicengland.org.uk/listing/the-list/list-entry/1000250,-0.884390925,51.30337613
145,Parks & Gardens,MOOR PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000251,-0.450708585,51.62795408
146,Parks & Gardens,WORMLEYBURY,https://historicengland.org.uk/listing/the-list/list-entry/1000252,-0.044015812,51.7361491
147,Parks & Gardens,YOUNGSBURY,https://historicengland.org.uk/listing/the-list/list-entry/1000253,-0.018885713,51.84207973
148,Parks & Gardens,WROTHAM PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000254,-0.198395947,51.67441335
149,Parks & Gardens,KNEBWORTH,https://historicengland.org.uk/listing/the-list/list-entry/1000255,-0.217895569,51.87228433
150,Parks & Gardens,MOUNT EPHRAIM,https://historicengland.org.uk/listing/the-list/list-entry/1000256,0.961567262,51.3021415
151,Parks & Gardens,BAYHAM ABBEY,https://historicengland.org.uk/listing/the-list/list-entry/1000257,0.342334317,51.10530045
152,Parks & Gardens,CHEVENING,https://historicengland.org.uk/listing/the-list/list-entry/1000258,0.125159924,51.30013435
153,Parks & Gardens,WALDERSHARE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000259,1.271480456,51.18420121
154,Parks & Gardens,GOODNESTONE PARK,https://historicengland.org.uk/listing/the-list/list-entry/1000260,1.228967617,51.2418178
