OBJECTID,Type,Name,Longitude,Latitude
36481,Ancient Woodland,KNOWLES WOOD,-3.291181727,50.85939161
36482,Ancient Woodland,KNOWLES WOOD,-3.289655066,50.85607212
36483,Ancient Woodland,KNOX HALL WOOD,-1.707674959,54.07180238
36484,Ancient Woodland,KNUCK WOOD,-3.075429427,52.47070261
36485,Ancient Woodland,KNUCK WOOD,-3.070074003,52.47387085
36486,Ancient Woodland,KNUCK WOOD,-3.067974505,52.47532828
36487,Ancient Woodland,KNYFTONS FIRS,-2.718080596,51.24800059
36488,Ancient Woodland,KNYPERSLEY WOOD,-2.16346866,53.09654644
36489,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.063546153,54.34574336
36490,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.057234378,54.34856702
36491,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.054714235,54.35709135
36492,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.055698721,54.34807715
36493,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.061150532,54.34590825
36494,Ancient Woodland,"KYE WOOD,CRAG COPPICE",-3.056140748,54.34911585
36495,Ancient Woodland,KYNASTON WOOD,0.128670485,51.38464136
36496,Ancient Woodland,KYTTON COPSE,-3.337761732,50.98154745
36497,Ancient Woodland,Lackenden Wood,1.152318886,51.26867163
36498,Ancient Woodland,LACKHAM WOOD,-2.105283812,51.42902026
36499,Ancient Woodland,LACKHAM WOOD,-2.104656032,51.43125073
36500,Ancient Woodland,LACKHAM WOOD,-2.106851414,51.42891993
36501,Ancient Woodland,LACKHAM WOOD,-2.105792595,51.43133063
36502,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.042582246,51.50335285
36503,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.03508413,51.50432547
36504,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.040297228,51.50925074
36505,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.076182623,51.51894409
36506,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.06946361,51.52120187
36507,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.073351098,51.52566554
36508,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.053674186,51.52153417
36509,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.046531713,51.50326812
36510,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.031869236,51.50441588
36511,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.043796739,51.51485418
36512,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.074255038,51.51520634
36513,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.067974646,51.51717976
36514,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.057538614,51.51866096
36515,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.05936458,51.5237739
36516,Ancient Woodland,LACKMORE/VALENTINE WOODS,-1.043434901,51.52456228
36517,Ancient Woodland,LADDER PLAT WOOD,-3.984917829,50.77218889
36518,Ancient Woodland,LADDS WOOD,0.448906801,50.97250676
36519,Ancient Woodland,Lade Wood,0.744395766,51.24320926
36520,Ancient Woodland,LADE WOOD,0.744104667,51.28523634
36521,Ancient Woodland,LADE WOOD,0.746561481,51.28218369
36522,Ancient Woodland,LADIES WOOD,-2.149685103,55.08110094
